Date/Time:,3/13/2020 8:47,,,,,
Film name:,Poly on 1000A Oxide,,,,,
Stage group:,49 pts radial,,,,,
Lot ID:,kk_0312 sel_post,,,,,
Wafer ID:,# 25,,,,,
Cassette recipe name:,SemiAuto -,,,,,
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE,,,,,
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex,,,,,
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,46,1000,4883.44,32.15,-127.306,73.499
,47,1000,4830.64,31.56,-103.945,103.944
,48,1000,4790.98,31.02,-73.501,127.305
,49,1000,4776.16,30.45,-38.047,141.991
,,,,,,
Max,,1000,5193.59,34.86,,
Min,,1000,4776.16,28.12,,
Range,,0,417.43,6.74,,
Mean,,1000,4943.94,31.7012,,
StdD,,0,78.09,1.6424,,
%StdD,,0,1.58,5.1809,,
%NonU,,0,4.22,10.6305,,
CTE,,N/A,N/A,N/A,,
,,,,,,
Date/Time:,3/13/2020 8:42,,,,,
Film name:,Poly on 1000A Oxide,,,,,
Stage group:,49 pts radial,,,,,
Lot ID:,kk_0312 sel_post,,,,,
Wafer ID:,# 23,,,,,
Cassette recipe name:,SemiAuto -,,,,,
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE,,,,,
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex,,,,,
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000,4930.45,32.19,0,0
,2,1000,4947.77,33.16,0,49
,3,1000,4949.65,34.06,34.648,34.648
,4,1000,4937.96,33.5,49,0
,5,1000,4916.3,32.73,34.648,-34.648
,6,1000,4914.85,31.94,0,-49
,7,1000,4945.67,31.89,-34.648,-34.648
,8,1000,4970.49,32.17,-49,0
,9,1000,4958.86,32.18,-34.648,34.648
,10,1000,4964.11,34.56,0,98
,11,1000,4977.37,35.32,37.503,90.54
,12,1000,4994.49,36.31,69.296,69.297
,13,1000,5002.93,36.44,90.54,37.503
,14,1000,4993.19,36.01,98,0
,15,1000,4962.79,34.96,90.54,-37.503
,16,1000,4920.1,33.6,69.297,-69.296
,17,1000,4888.77,32.42,37.503,-90.54
,18,1000,4890.47,32.08,0,-98
,19,1000,4927.21,32.19,-37.503,-90.54
,20,1000,4986.88,32.85,-69.296,-69.297
,21,1000,5036.56,33.32,-90.54,-37.503
,22,1000,5059.09,33.56,-98,0
,23,1000,5025.58,33.67,-90.54,37.503
,24,1000,4988.62,33.63,-69.297,69.296
,25,1000,4964.48,33.96,-37.503,90.54
,26,1000,4897.66,32.45,0,147
,27,1000,4920.53,33.3,38.046,141.991
,28,1000,4953.33,34.72,73.5,127.306
,29,1000,4988.51,36.15,103.945,103.945
,30,1000,4999.47,36.69,127.306,73.5
,31,1000,5007.39,37.43,141.991,38.047
,32,1000,4993.95,37.02,147,0
,33,1000,4964.94,36,141.991,-38.046
,34,1000,4916.36,34.33,127.306,-73.5
,35,1000,4858.42,33.38,103.945,-103.944
,36,1000,4806.78,32.68,73.5,-127.306
,37,1000,4776.18,31.96,38.047,-141.991
,38,1000,4784.92,31.06,0,-147
,39,1000,4826.75,30.35,-38.046,-141.991
,40,1000,4898.85,29.53,-73.5,-127.306
,41,1000,5019.87,31.89,-103.944,-103.945
,42,1000,5062.43,32.09,-127.305,-73.5
,43,1000,5145.61,31.01,-141.991,-38.047
,44,1000,5232.16,28.44,-147,-0.001
,45,1000,4898.97,34.16,-141.991,38.046
,46,1000,5006.78,31.69,-127.306,73.499
,47,1000,4973.29,32.15,-103.945,103.944
,48,1000,4906.98,31.34,-73.501,127.305
,49,1000,4890.16,31.67,-38.047,141.991
,,,,,,
Max,,1000,5232.16,37.43,,
Min,,1000,4776.18,28.44,,
Range,,0,455.98,8.99,,
Mean,,1000,4954.79,33.2692,,
StdD,,0,80.68,1.9522,,
%StdD,,0,1.63,5.8678,,
%NonU,,0,4.6,13.511,,
CTE,,N/A,N/A,N/A,,
,,,,,,
Date/Time:,3/13/2020 8:40,,,,,
Film name:,Poly on 1000A Oxide,,,,,
Stage group:,49 pts radial,,,,,
Lot ID:,kk_0312 sel_post,,,,,
Wafer ID:,# 22,,,,,
Cassette recipe name:,SemiAuto -,,,,,
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE,,,,,
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex,,,,,
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,1,1000,4899.58,23.43,0,0
,2,1000,4926.94,23.51,0,49
,3,1000,4904.65,23.42,34.648,34.648
,4,1000,4900.86,23.76,49,0
,5,1000,4906.6,23.91,34.648,-34.648
,6,1000,4897.93,23.9,0,-49
,7,1000,4886.44,23.41,-34.648,-34.648
,8,1000,4903.93,23.17,-49,0
,9,1000,4932.92,23.41,-34.648,34.648
,10,1000,4964.77,23.89,0,98
,11,1000,4917.33,23.15,37.503,90.54
,12,1000,4892.4,23.25,69.296,69.297
,13,1000,4893.18,23.66,90.54,37.503
,14,1000,4911.33,24.26,98,0
,15,1000,4934.65,24.84,90.54,-37.503
,16,1000,4950.91,25.18,69.297,-69.296
,17,1000,4946.73,25.19,37.503,-90.54
,18,1000,4923.06,24.53,0,-98
,19,1000,4891.09,24.03,-37.503,-90.54
,20,1000,4868.22,23.66,-69.296,-69.297
,21,1000,4870.2,23.01,-90.54,-37.503
,22,1000,4903.52,23.22,-98,0
,23,1000,4953.2,24.18,-90.54,37.503
,24,1000,5001.71,24.82,-69.297,69.296
,25,1000,5016.18,24.99,-37.503,90.54
,26,1000,4953.75,22.75,0,147
,27,1000,4901.11,21.14,38.046,141.991
,28,1000,4853.65,21.2,73.5,127.306
,29,1000,4830.06,20.99,103.945,103.945
,30,1000,4832.72,21.29,127.306,73.5
,31,1000,4853.79,21.63,141.991,38.047
,32,1000,4885.03,21.93,147,0
,33,1000,4919.87,22.77,141.991,-38.046
,34,1000,4950.32,22.86,127.306,-73.5
,35,1000,4971.78,23.97,103.945,-103.944
,36,1000,4972.53,24.16,73.5,-127.306
,37,1000,4957.28,23.64,38.047,-141.991
,38,1000,4930,22.91,0,-147
,39,1000,4880.87,22.28,-38.046,-141.991
,40,1000,4837.92,22.04,-73.5,-127.306
,41,1000,4808.23,21.87,-103.944,-103.945
,42,1000,4805.41,21.04,-127.305,-73.5
,43,1000,4821.32,21.41,-141.991,-38.047
,44,1000,4869.13,21.28,-147,-0.001
,45,1000,4940.24,22.34,-141.991,38.046
,46,1000,5002.27,23.46,-127.306,73.499
,47,1000,5011.24,26.41,-103.945,103.944
,48,1000,5230.68,22.58,-73.501,127.305
,49,1000,5093.83,24.87,-38.047,141.991
,,,,,,
Max,,1000,5230.68,26.41,,
Min,,1000,4805.41,20.99,,
Range,,0,425.27,5.42,,
Mean,,1000,4920.64,23.2367,,
StdD,,0,72.96,1.2613,,
%StdD,,0,1.48,5.428,,
%NonU,,0,4.32,11.6626,,
CTE,,N/A,N/A,N/A,,
,,,,,,
Date/Time:,3/13/2020 8:37,,,,,
