

Date/Time:,13-Mar-20 08:47:12 AM
Film name:,Poly on 1000A Oxide
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 25
Cassette recipe name:,SemiAuto -
Wafer recipe name:,POLY ON 1K OXIDE 49PT 3mmEE
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Poly (Å),MSE,X(mm),Y(mm)
,24,1000.00,2686.79,0.0004,-69.297,69.296
,25,1000.00,2699.68,0.0004,-37.503,90.540
,26,1000.00,2747.74,0.0020,0.000,147.000
,27,1000.00,2766.53,0.0044,38.046,141.991
,28,1000.00,2785.59,0.0057,73.500,127.306
,29,1000.00,2804.88,0.0053,103.945,103.945
,30,1000.00,2816.71,0.0050,127.306,73.500
,31,1000.00,2823.42,0.0045,141.991,38.047
,32,1000.00,2815.69,0.0043,147.000,0.000
,33,1000.00,2832.18,0.0038,141.991,-38.046
,34,1000.00,2753.55,0.0031,127.306,-73.500
,35,1000.00,2829.27,0.0029,103.945,-103.944
,36,1000.00,2797.08,0.0031,73.500,-127.306
,37,1000.00,2773.61,0.0033,38.047,-141.991
,38,1000.00,2812.72,0.0034,0.000,-147.000
,39,1000.00,2761.65,0.0032,-38.046,-141.991
,40,1000.00,2747.77,0.0032,-73.500,-127.306
,41,1000.00,2729.27,0.0033,-103.944,-103.945
,42,1000.00,2715.54,0.0035,-127.305,-73.500
,43,1000.00,2704.81,0.0020,-141.991,-38.047
,44,1000.00,2697.49,0.0005,-147.000,-0.001
,45,1000.00,2687.16,0.0005,-141.991,38.046
,46,1000.00,2690.26,0.0005,-127.306,73.499
,47,1000.00,2701.28,0.0004,-103.945,103.944
,48,1000.00,2716.32,0.0005,-73.501,127.305
,49,1000.00,2727.57,0.0009,-38.047,141.991

Max,,1000.00,2832.18,0.0074
Min,,1000.00,2643.12,0.0004
Range,,0.00,189.06,0.0070
Mean,,1000.00,2728.52,0.0034
StdD,,0.00,52.63,0.0018
%StdD,,0.00,1.93,52.0792
%NonU,,0.00,3.46,103.4137
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:28:34 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 16
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2617.24,0.0042,0.000,0.000
,2,1000.00,2644.73,0.0044,0.000,49.000
,3,1000.00,2653.81,0.0039,34.648,34.648
,4,1000.00,2654.23,0.0042,49.000,0.000
,5,1000.00,2646.82,0.0043,34.648,-34.648
,6,1000.00,2636.35,0.0037,0.000,-49.000
,7,1000.00,2627.63,0.0054,-34.648,-34.648
,8,1000.00,2626.65,0.0051,-49.000,-0.000
,9,1000.00,2634.09,0.0043,-34.648,34.648
,10,1000.00,2718.00,0.0024,0.000,98.000
,11,1000.00,2730.23,0.0037,37.503,90.540
,12,1000.00,2737.43,0.0049,69.296,69.297
,13,1000.00,2743.17,0.0048,90.540,37.503
,14,1000.00,2736.61,0.0056,98.000,0.000
,15,1000.00,2727.35,0.0073,90.540,-37.503
,16,1000.00,2720.46,0.0061,69.297,-69.296
,17,1000.00,2714.61,0.0043,37.503,-90.540
,18,1000.00,2705.11,0.0037,0.000,-98.000
,19,1000.00,2695.57,0.0039,-37.503,-90.540
,20,1000.00,2687.74,0.0044,-69.296,-69.297
,21,1000.00,2685.03,0.0038,-90.540,-37.503
,22,1000.00,2688.42,0.0014,-98.000,-0.000
,23,1000.00,2696.04,0.0006,-90.540,37.503
,24,1000.00,2705.23,0.0006,-69.297,69.296
,25,1000.00,2713.45,0.0004,-37.503,90.540
,26,1000.00,2774.12,0.0016,0.000,147.000
,27,1000.00,2801.11,0.0033,38.046,141.991
,28,1000.00,2855.15,0.0044,73.500,127.306
,29,1000.00,2769.36,0.0051,103.945,103.945
,30,1000.00,2849.52,0.0046,127.306,73.500
,31,1000.00,2825.89,0.0048,141.991,38.047
,32,1000.00,2803.15,0.0055,147.000,0.000
,33,1000.00,2784.73,0.0181,141.991,-38.046
,34,1000.00,2779.65,0.0053,127.306,-73.500
,35,1000.00,2788.18,0.0050,103.945,-103.944
,36,1000.00,2787.77,0.0053,73.500,-127.306
,37,1000.00,2777.97,0.0050,38.047,-141.991
,38,1000.00,2767.56,0.0049,0.000,-147.000
,39,1000.00,2758.52,0.0052,-38.046,-141.991
,40,1000.00,2756.46,0.0081,-73.500,-127.306
,41,1000.00,2729.28,0.0048,-103.944,-103.945
,42,1000.00,2714.72,0.0033,-127.305,-73.500
,43,1000.00,2714.47,0.0014,-141.991,-38.047
,44,1000.00,2718.50,0.0005,-147.000,-0.001
,45,1000.00,2722.46,0.0003,-141.991,38.046
,46,1000.00,2732.02,0.0003,-127.306,73.499
,47,1000.00,2742.56,0.0003,-103.945,103.944
,48,1000.00,2769.49,0.0003,-73.501,127.305
,49,1000.00,2793.42,0.0005,-38.047,141.991

Max,,1000.00,2855.15,0.0181
Min,,1000.00,2617.24,0.0003
Range,,0.00,237.90,0.0178
Mean,,1000.00,2727.80,0.0040
StdD,,0.00,58.51,0.0029
%StdD,,0.00,2.15,71.5638
%NonU,,0.00,4.36,223.8809
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:25:59 AM
Film name:,SIN ON 1K FIX OX RC
Stage group:,49 pts radial
Lot ID:,kk_0312 sel_post
Wafer ID:,# 15
Cassette recipe name:,SemiAuto -
Wafer recipe name:,Nitride on 1kA Fix Ox 49pt 3mm
Stage recipe name:,49 pt 12 in 4x Notch 3mm ex
Title:,Point#,SiO2 (Å),Si3N4 (Å),MSE,X(mm),Y(mm)
,1,1000.00,2752.24,0.0037,0.000,0.000
,2,1000.00,2773.65,0.0043,0.000,49.000
,3,1000.00,2771.55,0.0038,34.648,34.648
,4,1000.00,2764.86,0.0042,49.000,0.000
,5,1000.00,2759.98,0.0041,34.648,-34.648
,6,1000.00,2760.89,0.0033,0.000,-49.000
,7,1000.00,2766.14,0.0052,-34.648,-34.648
,8,1000.00,2771.66,0.0047,-49.000,-0.000
,9,1000.00,2773.00,0.0042,-34.648,34.648
,10,1000.00,2826.12,0.0023,0.000,98.000
,11,1000.00,2830.14,0.0040,37.503,90.540
,12,1000.00,2827.32,0.0051,69.296,69.297
,13,1000.00,2819.47,0.0052,90.540,37.503
,14,1000.00,2809.48,0.0058,98.000,0.000
,15,1000.00,2801.18,0.0072,90.540,-37.503
,16,1000.00,2796.88,0.0060,69.297,-69.296
,17,1000.00,2796.56,0.0038,37.503,-90.540
,18,1000.00,2798.07,0.0031,0.000,-98.000
,19,1000.00,2802.32,0.0034,-37.503,-90.540
,20,1000.00,2807.59,0.0038,-69.296,-69.297
,21,1000.00,2814.84,0.0035,-90.540,-37.503
,22,1000.00,2821.92,0.0011,-98.000,-0.000
,23,1000.00,2819.48,0.0005,-90.540,37.503
,24,1000.00,2818.74,0.0006,-69.297,69.296
,25,1000.00,2816.59,0.0003,-37.503,90.540
,26,1000.00,2845.41,0.0018,0.000,147.000
,27,1000.00,2832.76,0.0039,38.046,141.991
,28,1000.00,2812.43,0.0055,73.500,127.306
,29,1000.00,2805.91,0.0060,103.945,103.945
,30,1000.00,2804.47,0.0050,127.306,73.500
,31,1000.00,2794.23,0.0046,141.991,38.047
,32,1000.00,2784.44,0.0045,147.000,0.000
,33,1000.00,2774.07,0.0046,141.991,-38.046
,34,1000.00,2770.35,0.0033,127.306,-73.500
,35,1000.00,2773.47,0.0033,103.945,-103.944
,36,1000.00,2778.08,0.0032,73.500,-127.306
,37,1000.00,2786.57,0.0043,38.047,-141.991
,38,1000.00,2786.76,0.0034,0.000,-147.000
,39,1000.00,2791.72,0.0031,-38.046,-141.991
,40,1000.00,2792.23,0.0033,-73.500,-127.306
,41,1000.00,2789.63,0.0034,-103.944,-103.945
,42,1000.00,2791.54,0.0034,-127.305,-73.500
,43,1000.00,2802.14,0.0015,-141.991,-38.047
,44,1000.00,2832.23,0.0004,-147.000,-0.001
,45,1000.00,2837.57,0.0003,-141.991,38.046
,46,1000.00,2787.49,0.0003,-127.306,73.499
,47,1000.00,2866.14,0.0003,-103.945,103.944
,48,1000.00,2821.35,0.0003,-73.501,127.305
,49,1000.00,2804.23,0.0007,-38.047,141.991

Max,,1000.00,2866.14,0.0072
Min,,1000.00,2752.24,0.0003
Range,,0.00,113.90,0.0069
Mean,,1000.00,2799.30,0.0033
StdD,,0.00,24.95,0.0018
%StdD,,0.00,0.89,53.6892
%NonU,,0.00,2.03,103.2925
CTE,,N/A,N/A,N/A

Date/Time:,13-Mar-20 08:23:14 AM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_post
Wafer ID:,# 13
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,1695.78,0.9600,0.000,0.000
,2,1685.96,1.1400,0.000,49.000
,3,1696.88,0.9000,34.648,34.648
,4,1706.94,1.1500,49.000,0.000
,5,1714.17,1.0700,34.648,-34.648
,6,1718.74,0.6400,0.000,-49.000
,7,1703.23,1.8100,-34.648,-34.648
,8,1690.18,1.3600,-49.000,-0.000
,9,1684.42,1.1400,-34.648,34.648
,10,1682.13,0.4000,0.000,98.000
,11,1681.90,0.9100,37.503,90.540
,12,1689.83,1.4800,69.296,69.297
,13,1705.42,1.6700,90.540,37.503
,14,1716.39,1.9500,98.000,0.000
,15,1726.21,2.5600,90.540,-37.503
,16,1733.76,2.0200,69.297,-69.296
,17,1740.00,0.9900,37.503,-90.540
,18,1742.20,0.6700,0.000,-98.000
,19,1744.06,0.9300,-37.503,-90.540
,20,1717.60,0.8400,-69.296,-69.297
,21,1687.75,0.5900,-90.540,-37.503
,22,1680.60,1.3200,-98.000,-0.000
,23,1682.96,3.5900,-90.540,37.503
,24,1687.33,3.8200,-69.297,69.296
,25,1686.84,2.3700,-37.503,90.540
,26,1593.27,1.0700,0.000,147.000
,27,1591.89,0.4900,38.046,141.991
,28,1588.65,0.6400,73.500,127.306
,29,1597.48,0.7600,103.945,103.945
,30,1624.01,1.0400,127.306,73.500
,31,1630.21,1.1900,141.991,38.047
,32,1647.05,1.5200,147.000,0.000
,33,1663.37,1.5400,141.991,-38.046
,34,1670.72,1.3600,127.306,-73.500
,35,1682.45,1.3100,103.945,-103.944
,36,1688.18,1.2500,73.500,-127.306
,37,1693.83,0.6800,38.047,-141.991
,38,1690.77,0.4500,0.000,-147.000
,39,1691.74,0.4300,-38.046,-141.991
,40,1663.78,0.4300,-73.500,-127.306
,41,1625.59,0.4000,-103.944,-103.945
,42,1588.17,0.4400,-127.305,-73.500
,43,1564.39,1.1800,-141.991,-38.047
,44,1568.42,2.2500,-147.000,-0.001
,45,1557.65,2.6400,-141.991,38.046
,46,1575.45,2.7400,-127.306,73.499
,47,1596.34,2.6700,-103.945,103.944
,48,1607.97,2.4400,-73.501,127.305
,49,1606.78,1.9800,-38.047,141.991

Max,,1744.06,3.8200
Min,,1557.65,0.4000
Range,,186.41,3.4200
Mean,,1665.50,1.3710
StdD,,52.74,0.8269
%StdD,,3.17,60.3149
%NonU,,5.60,124.7246
CTE,,N/A,N/A

Date/Time:,13-Mar-20 08:20:30 AM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_post
Wafer ID:,# 12
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,1712.08,0.8900,0.000,0.000
,2,1700.82,1.2800,0.000,49.000
,3,1714.11,0.9900,34.648,34.648
,4,1722.19,1.0400,49.000,0.000
,5,1727.55,1.1300,34.648,-34.648
,6,1726.12,0.5400,0.000,-49.000
,7,1713.21,1.5900,-34.648,-34.648
,8,1707.29,1.5700,-49.000,-0.000
,9,1700.04,1.1400,-34.648,34.648
,10,1695.66,0.4200,0.000,98.000
,11,1695.95,0.9500,37.503,90.540
,12,1705.04,1.5800,69.296,69.297
,13,1722.64,1.8500,90.540,37.503
,14,1731.78,1.9200,98.000,0.000
,15,1739.82,2.8000,90.540,-37.503
,16,1746.11,2.2600,69.297,-69.296
,17,1751.90,1.1400,37.503,-90.540
,18,1746.97,0.6300,0.000,-98.000
,19,1736.02,0.7400,-37.503,-90.540
,20,1716.79,1.0100,-69.296,-69.297
,21,1701.41,0.8100,-90.540,-37.503
,22,1697.83,1.3700,-98.000,-0.000
,23,1699.63,3.7500,-90.540,37.503
,24,1702.09,3.8600,-69.297,69.296
,25,1700.20,2.2900,-37.503,90.540
,26,1606.22,1.0700,0.000,147.000
,27,1596.15,0.4600,38.046,141.991
,28,1591.76,0.7600,73.500,127.306
,29,1602.37,0.7200,103.945,103.945
,30,1634.02,1.1200,127.306,73.500
,31,1635.29,1.2400,141.991,38.047
,32,1650.55,1.3200,147.000,0.000
,33,1663.11,1.6700,141.991,-38.046
,34,1669.53,1.4100,127.306,-73.500
,35,1678.06,1.3800,103.945,-103.944
,36,1684.27,1.1200,73.500,-127.306
,37,1688.27,0.8700,38.047,-141.991
,38,1686.91,0.4200,0.000,-147.000
,39,1682.79,0.5100,-38.046,-141.991
,40,1657.54,0.4900,-73.500,-127.306
,41,1621.26,0.4500,-103.944,-103.945
,42,1585.93,0.4800,-127.305,-73.500
,43,1569.16,1.1700,-141.991,-38.047
,44,1574.15,2.3000,-147.000,-0.001
,45,1566.01,2.6800,-141.991,38.046
,46,1584.46,2.7800,-127.306,73.499
,47,1604.95,2.7200,-103.945,103.944
,48,1624.55,2.4300,-73.501,127.305
,49,1619.42,2.0000,-38.047,141.991

Max,,1751.90,3.8600
Min,,1566.01,0.4200
Range,,185.89,3.4400
Mean,,1673.26,1.4106
StdD,,54.24,0.8435
%StdD,,3.24,59.7945
%NonU,,5.55,121.9329
CTE,,N/A,N/A

Date/Time:,13-Mar-20 08:17:46 AM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_post
Wafer ID:,# 11
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,1706.46,0.8900,0.000,0.000
,2,1713.56,1.3400,0.000,49.000
,3,1699.66,1.0800,34.648,34.648
,4,1698.77,0.9700,49.000,0.000
,5,1708.97,1.1100,34.648,-34.648
,6,1711.12,0.5800,0.000,-49.000
,7,1712.43,1.6900,-34.648,-34.648
,8,1715.47,1.3400,-49.000,-0.000
,9,1712.12,1.1100,-34.648,34.648
,10,1715.99,0.4500,0.000,98.000
,11,1695.94,0.9500,37.503,90.540
,12,1691.29,1.5900,69.296,69.297
,13,1696.19,1.6500,90.540,37.503
,14,1700.49,1.8200,98.000,0.000
,15,1702.46,2.6400,90.540,-37.503
,16,1703.89,2.3300,69.297,-69.296
,17,1718.48,0.8900,37.503,-90.540
,18,1718.32,0.4700,0.000,-98.000
,19,1727.56,0.6900,-37.503,-90.540
,20,1735.73,1.0400,-69.296,-69.297
,21,1737.84,0.8400,-90.540,-37.503
,22,1739.04,1.1900,-98.000,-0.000
,23,1737.25,3.7600,-90.540,37.503
,24,1731.92,3.9900,-69.297,69.296
,25,1722.06,2.3300,-37.503,90.540
,26,1611.32,0.9200,0.000,147.000
,27,1567.90,0.4900,38.046,141.991
,28,1560.45,0.7800,73.500,127.306
,29,1579.13,0.8300,103.945,103.945
,30,1616.34,1.1500,127.306,73.500
,31,1626.06,1.1000,141.991,38.047
,32,1643.65,1.4400,147.000,0.000
,33,1624.53,1.2300,141.991,-38.046
,34,1593.28,1.2600,127.306,-73.500
,35,1579.91,0.8000,103.945,-103.944
,36,1606.91,0.7400,73.500,-127.306
,37,1589.83,0.5700,38.047,-141.991
,38,1582.54,0.4700,0.000,-147.000
,39,1600.16,0.4600,-38.046,-141.991
,40,1621.68,0.4300,-73.500,-127.306
,41,1632.80,0.4300,-103.944,-103.945
,42,1628.17,0.4600,-127.305,-73.500
,43,1626.29,1.0700,-141.991,-38.047
,44,1616.94,2.3200,-147.000,-0.001
,45,1606.60,2.6500,-141.991,38.046
,46,1599.25,2.6600,-127.306,73.499
,47,1598.04,2.4800,-103.945,103.944
,48,1592.23,2.1200,-73.501,127.305
,49,1584.11,1.8900,-38.047,141.991

Max,,1739.04,3.9900
Min,,1560.45,0.4300
Range,,178.59,3.5600
Mean,,1660.02,1.3365
StdD,,58.66,0.8456
%StdD,,3.53,63.2689
%NonU,,5.38,133.1806
CTE,,N/A,N/A

Date/Time:,13-Mar-20 08:15:02 AM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_post
Wafer ID:,# 10
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,1702.27,0.9200,0.000,0.000
,2,1692.66,1.2600,0.000,49.000
,3,1702.38,0.8200,34.648,34.648
,4,1713.25,1.1800,49.000,0.000
,5,1721.07,1.0400,34.648,-34.648
,6,1719.79,0.6500,0.000,-49.000
,7,1705.54,1.4900,-34.648,-34.648
,8,1693.32,1.3100,-49.000,-0.000
,9,1690.84,0.9600,-34.648,34.648
,10,1688.41,0.5400,0.000,98.000
,11,1686.40,0.8300,37.503,90.540
,12,1693.16,1.3800,69.296,69.297
,13,1706.85,1.6100,90.540,37.503
,14,1719.82,1.9400,98.000,0.000
,15,1728.91,2.5400,90.540,-37.503
,16,1734.58,2.2800,69.297,-69.296
,17,1738.85,1.0000,37.503,-90.540
,18,1736.29,0.5400,0.000,-98.000
,19,1729.76,0.8800,-37.503,-90.540
,20,1711.06,0.7200,-69.296,-69.297
,21,1685.82,0.6800,-90.540,-37.503
,22,1678.66,1.3400,-98.000,-0.000
,23,1684.06,3.6900,-90.540,37.503
,24,1690.55,3.9800,-69.297,69.296
,25,1691.90,2.5200,-37.503,90.540
,26,1592.83,1.1900,0.000,147.000
,27,1596.14,0.4600,38.046,141.991
,28,1594.60,0.7600,73.500,127.306
,29,1603.25,0.9100,103.945,103.945
,30,1629.21,1.0400,127.306,73.500
,31,1635.59,1.3500,141.991,38.047
,32,1653.08,1.6300,147.000,0.000
,33,1666.30,1.7800,141.991,-38.046
,34,1673.66,1.4700,127.306,-73.500
,35,1687.99,1.4200,103.945,-103.944
,36,1688.15,1.1100,73.500,-127.306
,37,1690.22,1.0300,38.047,-141.991
,38,1689.10,0.4800,0.000,-147.000
,39,1687.08,0.5000,-38.046,-141.991
,40,1680.24,0.5300,-73.500,-127.306
,41,1648.32,0.4100,-103.944,-103.945
,42,1599.78,0.4900,-127.305,-73.500
,43,1566.23,1.2000,-141.991,-38.047
,44,1570.61,2.3700,-147.000,-0.001
,45,1561.54,2.8200,-141.991,38.046
,46,1579.68,2.6900,-127.306,73.499
,47,1596.87,2.6500,-103.945,103.944
,48,1609.84,2.4800,-73.501,127.305
,49,1609.87,2.0000,-38.047,141.991

Max,,1738.85,3.9800
Min,,1561.54,0.4100
Range,,177.31,3.5700
Mean,,1668.50,1.4055
StdD,,51.08,0.8469
%StdD,,3.06,60.2526
%NonU,,5.31,127.0001
CTE,,N/A,N/A

Date/Time:,13-Mar-20 08:12:02 AM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_post
Wafer ID:,# 09
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,1705.14,0.9800,0.000,0.000
,2,1694.58,1.1600,0.000,49.000
,3,1705.61,0.7600,34.648,34.648
,4,1718.43,1.0800,49.000,0.000
,5,1727.54,1.1400,34.648,-34.648
,6,1732.98,0.5600,0.000,-49.000
,7,1721.43,1.6300,-34.648,-34.648
,8,1699.48,1.3700,-49.000,-0.000
,9,1694.31,0.8200,-34.648,34.648
,10,1695.23,0.4100,0.000,98.000
,11,1694.36,1.0500,37.503,90.540
,12,1701.73,1.6400,69.296,69.297
,13,1717.35,1.6200,90.540,37.503
,14,1730.14,2.0100,98.000,0.000
,15,1741.34,2.7300,90.540,-37.503
,16,1749.50,2.4200,69.297,-69.296
,17,1756.82,1.1100,37.503,-90.540
,18,1790.12,0.7000,0.000,-98.000
,19,1804.18,1.1700,-37.503,-90.540
,20,1727.62,1.1100,-69.296,-69.297
,21,1702.00,0.6200,-90.540,-37.503
,22,1695.82,1.3700,-98.000,-0.000
,23,1696.74,3.7300,-90.540,37.503
,24,1700.73,3.9900,-69.297,69.296
,25,1700.49,2.5700,-37.503,90.540
,26,1624.18,1.2400,0.000,147.000
,27,1625.38,0.4200,38.046,141.991
,28,1624.16,0.7100,73.500,127.306
,29,1630.81,1.0900,103.945,103.945
,30,1658.75,1.1700,127.306,73.500
,31,1663.79,1.4600,141.991,38.047
,32,1682.06,1.5200,147.000,0.000
,33,1698.96,1.5600,141.991,-38.046
,34,1707.28,1.6200,127.306,-73.500
,35,1723.45,1.6900,103.945,-103.944
,36,1728.88,2.2400,73.500,-127.306
,37,1732.57,1.1400,38.047,-141.991
,38,1729.72,0.5200,0.000,-147.000
,39,1732.35,0.6600,-38.046,-141.991
,40,1710.56,0.5000,-73.500,-127.306
,41,1671.51,0.6200,-103.944,-103.945
,42,1630.65,0.4500,-127.305,-73.500
,43,1600.32,1.2000,-141.991,-38.047
,44,1601.37,2.4000,-147.000,-0.001
,45,1591.70,2.7800,-141.991,38.046
,46,1609.76,2.9400,-127.306,73.499
,47,1626.16,2.8000,-103.945,103.944
,48,1636.72,2.7200,-73.501,127.305
,49,1639.43,2.1200,-38.047,141.991

Max,,1804.18,3.9900
Min,,1591.70,0.4100
Range,,212.48,3.5800
Mean,,1691.51,1.4963
StdD,,49.09,0.8710
%StdD,,2.90,58.2063
%NonU,,6.28,119.6263
CTE,,N/A,N/A

Date/Time:,12-Mar-20 12:26:36 PM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 12 - Ox
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,2476.35,0.9000,0.000,0.000
,2,2465.17,1.0600,0.000,49.000
,3,2474.19,0.9400,34.648,34.648
,4,2482.29,1.0400,49.000,0.000
,5,2489.66,0.9700,34.648,-34.648
,6,2489.95,0.7400,0.000,-49.000
,7,2484.85,1.5000,-34.648,-34.648
,8,2479.01,1.2800,-49.000,-0.000
,9,2467.31,0.9300,-34.648,34.648
,10,2462.46,0.5500,0.000,98.000
,11,2462.68,0.9200,37.503,90.540
,12,2470.76,1.1200,69.296,69.297
,13,2487.53,1.3700,90.540,37.503
,14,2496.56,1.5600,98.000,0.000
,15,2508.51,2.0700,90.540,-37.503
,16,2515.28,1.7000,69.297,-69.296
,17,2520.47,0.9800,37.503,-90.540
,18,2517.54,0.6800,0.000,-98.000
,19,2511.18,0.9000,-37.503,-90.540
,20,2497.01,0.9500,-69.296,-69.297
,21,2484.02,0.7600,-90.540,-37.503
,22,2472.84,1.3200,-98.000,-0.000
,23,2462.98,2.9200,-90.540,37.503
,24,2461.74,2.9000,-69.297,69.296
,25,2462.24,1.6900,-37.503,90.540
,26,2445.93,0.7700,0.000,147.000
,27,2436.74,0.7500,38.046,141.991
,28,2430.02,0.9000,73.500,127.306
,29,2436.57,1.0800,103.945,103.945
,30,2465.32,1.2000,127.306,73.500
,31,2465.01,1.3000,141.991,38.047
,32,2480.13,1.2500,147.000,0.000
,33,2495.27,1.2700,141.991,-38.046
,34,2502.53,1.0800,127.306,-73.500
,35,2513.48,1.0700,103.945,-103.944
,36,2522.36,0.8300,73.500,-127.306
,37,2531.46,0.7900,38.047,-141.991
,38,2531.29,0.6500,0.000,-147.000
,39,2537.11,0.6700,-38.046,-141.991
,40,2512.64,0.7000,-73.500,-127.306
,41,2482.58,0.6900,-103.944,-103.945
,42,2454.29,0.6100,-127.305,-73.500
,43,2438.41,0.9400,-141.991,-38.047
,44,2438.97,2.0800,-147.000,-0.001
,45,2427.94,2.5500,-141.991,38.046
,46,2442.71,2.4800,-127.306,73.499
,47,2455.61,2.2200,-103.945,103.944
,48,2469.54,2.0100,-73.501,127.305
,49,2459.95,1.6100,-38.047,141.991

Max,,2537.11,2.9200
Min,,2427.94,0.5500
Range,,109.17,2.3700
Mean,,2479.15,1.2500
StdD,,28.66,0.6022
%StdD,,1.16,48.1791
%NonU,,2.20,94.8000
CTE,,N/A,N/A

Date/Time:,12-Mar-20 12:23:52 PM
Film name:,Oxide on Si
Stage group:,49 pts radials
Lot ID:,kk_0312 sel_Pre
Wafer ID:,# 11 - Ox
Cassette recipe name:,SemiAuto -
Wafer recipe name:,SiO2 49 PTS 3EE focus all
Stage recipe name:,49 pt 4X 3mm focus all
Title:,Point#,SiO2 (Å),MSE,X(mm),Y(mm)
,1,2471.63,0.9400,0.000,0.000
,2,2477.88,1.1200,0.000,49.000
,3,2460.22,0.8900,34.648,34.648
,4,2459.12,0.9000,49.000,0.000
,5,2472.15,0.9600,34.648,-34.648
,6,2475.56,0.7300,0.000,-49.000
,7,2485.23,1.5700,-34.648,-34.648
,8,2486.36,1.2300,-49.000,-0.000
,9,2479.01,0.9400,-34.648,34.648
,10,2484.11,0.6000,0.000,98.000
,11,2463.57,0.8600,37.503,90.540
,12,2459.25,1.2600,69.296,69.297
,13,2462.81,1.4300,90.540,37.503
,14,2467.50,1.6300,98.000,0.000
,15,2473.35,2.1700,90.540,-37.503
,16,2474.56,1.6100,69.297,-69.296
,17,2486.53,0.8900,37.503,-90.540
,18,2488.18,0.6800,0.000,-98.000
,19,2502.75,0.8800,-37.503,-90.540
,20,2515.24,0.9800,-69.296,-69.297
,21,2519.59,0.9200,-90.540,-37.503
,22,2515.52,1.0700,-98.000,-0.000
,23,2503.66,2.6900,-90.540,37.503
,24,2493.87,2.8800,-69.297,69.296
,25,2485.25,1.7800,-37.503,90.540
,26,2452.83,0.7600,0.000,147.000
,27,2408.35,0.6500,38.046,141.991
,28,2400.66,1.0800,73.500,127.306
,29,2415.14,1.0600,103.945,103.945
,30,2449.51,1.2600,127.306,73.500
,31,2456.64,1.2400,141.991,38.047
,32,2474.75,1.3500,147.000,0.000
,33,2454.92,1.2800,141.991,-38.046
,34,2425.45,1.0200,127.306,-73.500
,35,2412.09,1.0900,103.945,-103.944
,36,2439.45,0.8500,73.500,-127.306
,37,2425.61,0.5900,38.047,-141.991
,38,2422.52,0.5600,0.000,-147.000
,39,2444.78,0.6100,-38.046,-141.991
,40,2472.07,0.6100,-73.500,-127.306
,41,2491.63,0.7800,-103.944,-103.945
,42,2492.81,0.6600,-127.305,-73.500
,43,2492.76,0.8200,-141.991,-38.047
,44,2480.07,1.9700,-147.000,-0.001
,45,2469.75,2.1000,-141.991,38.046
,46,2459.38,2.1200,-127.306,73.499
,47,2452.58,1.9700,-103.945,103.944
,48,2441.10,1.8100,-73.501,127.305
,49,2427.62,1.3800,-38.047,141.991

Max,,2519.59,2.8800
Min,,2400.66,0.5600
Range,,118.93,2.3200
Mean,,2465.82,1.2088
StdD,,28.59,0.5520
